Subject_ID, Scan_ID, Left_Hippocampus_FWHM, Right_Hippocampus_FWHM, Left_dFLPC_FWHM, Right_dFLPC_FWHM 
900534, 800569, -7.102025e+00, -4.334410e+00, 6.093185e+00, 4.236312e+00
900535, 800570, 2.677686e+01, 2.099651e+01, 4.987263e+00, -3.892507e+00
900536, 800571, -4.371017e+00, 5.838316e+00, 6.040295e+00, 6.453710e+00
900537, 800572, 3.691255e+00, -9.157568e+00, -2.267157e+01, -6.735635e+00
900539, 800574, 9.739135e+00, 9.850812e+00, 3.610867e+00, 4.054212e+00
900540, 800575, 6.304193e+00, 3.746469e+00, 1.126736e+01, 2.385372e+01
900643, 800684, -3.286755e+00, 4.699588e+00, -4.788659e+00, -6.384973e+00
900644, 800685, -5.419245e+00, -8.728826e+00, -6.617329e+00, -7.199837e+00
900645, 800686, 4.948230e+00, 8.544042e+00, 6.531169e+00, -4.587426e+00
900646, 800687, 1.931321e+01, 1.299652e+01, 8.221154e+00, 3.026549e+01
900647, 800688, 1.009217e+01, -8.991859e+00, 3.546700e+00, 4.502497e+00
900719, 800760, 7.084817e+00, -6.268530e+00, 6.046633e+00, 5.635442e+00
900720, 800761, 8.485854e+00, 4.177194e+00, 1.030604e+01, 2.286919e+01
900721, 800762, 3.745297e+00, 7.566967e+00, 5.935418e+00, 2.162128e+01
900722, 800763, -6.086559e+00, -8.045923e+00, -2.983287e+01, -2.459675e+01
900762, 800805, 3.306345e+00, -3.169233e+00, 2.092281e+01, 1.522403e+01
900784, 800834, 1.135522e+01, 5.512149e+00, 7.634803e+00, 7.524999e+00
900785, 800835, 1.155234e+01, -4.046370e+00, -4.245079e+00, -9.520999e+00
900786, 800836, 5.156375e+00, 6.609924e+00, 1.244099e+01, 1.525253e+01
900787, 800837, -3.663342e+00, 3.305595e+00, -4.844452e+00, 5.191368e+00
901060, 801110, -1.566606e+01, -6.606271e+00, 4.178435e+00, -7.971841e+00
901061, 801111, 5.475533e+00, 7.797063e+00, 2.213594e+01, 3.269557e+01
901062, 801112, -6.983577e+00, -2.026030e+01, 1.223134e+01, -2.961413e+00
901063, 801113, 7.449718e+00, 9.884771e+00, 6.609561e+00, 1.374296e+01
901378, 801493, 6.062871e+00, -6.266117e+00, 6.105449e+00, 5.389763e+00
901379, 801494, -5.266147e+00, 5.545930e+00, 4.823121e+00, 5.242858e+00
901380, 801495, 3.594718e+00, 2.218360e+00, -7.763647e+00, 5.001009e+00
901381, 801496, 4.489628e+00, -5.784225e+00, 3.453258e+00, 3.980133e+00
901382, 801497, 6.435577e+00, -3.885127e+00, -3.390756e+00, 3.501866e+00
901383, 801498, 7.011018e+00, 8.357433e+00, 9.803378e+00, 7.642961e+00
901384, 801499, 9.423066e+00, 6.858408e+00, 6.725947e+00, -3.291814e+00
901385, 801500, -4.452951e+00, -4.596675e+00, -5.952821e+00, -3.064311e+01
901386, 801501, 1.375272e+01, 9.254798e+00, -1.023173e+01, -8.746837e+00
901414, 801534, 5.218226e+00, 4.947856e+00, -6.912469e+00, 7.930272e+00
901449, 801571, -5.480121e+00, -4.991560e+00, 7.746436e+00, 7.522953e+00
901450, 801572, 5.780603e+00, -3.821850e+00, 3.420526e+01, 1.225482e+01
901451, 801573, 3.994672e+00, -4.145593e+00, -6.474964e+00, -2.345208e+01
901452, 801574, -2.675875e+00, -1.094852e+01, 8.585218e+00, 5.654206e+00
901467, 801589, 4.710535e+00, -5.720772e+00, 6.457714e+00, 5.264563e+00
901468, 801590, 1.209106e+01, 2.249444e+01, 1.155440e+01, 4.237635e+00
901469, 801591, -4.459318e+00, 1.240443e+01, 4.145698e+00, 4.808740e+00
901470, 801592, 5.907206e+00, 8.237148e+00, -6.502802e+00, -1.437539e+01
901471, 801593, 9.316064e+00, 1.133311e+01, -3.490698e+00, 6.479435e+00
901723, 801889, 9.071493e+00, 7.615839e+00, 5.696044e+00, -4.488435e+00
901724, 801890, -8.628916e+00, -8.750336e+00, -1.065618e+01, -6.617138e+00
901725, 801891, -7.357543e+00, -2.334803e+01, 7.348039e+00, 2.870131e+00
901726, 801892, 8.972156e+00, -4.577230e+00, 7.903173e+00, 6.996760e+00
901727, 801893, -4.570370e+00, -4.670687e+00, 7.740629e+00, 6.860089e+00
901801, 802038, 5.903401e+00, 4.372181e+00, 3.419562e+00, 6.377311e+00
901814, 802057, -5.095319e+00, -3.910536e+00, -7.152418e+00, -6.099654e+00
901815, 802060, 7.644732e+00, 1.159833e+01, 7.102428e+00, 5.000226e+00
901832, 802091, -2.900166e+00, 3.323776e+00, 4.886091e+00, 7.440967e+00
901866, 802143, -5.053542e+00, -8.934001e+00, 1.283604e+01, 1.138605e+01
901882, 802176, 4.967527e+00, 1.460760e+01, 1.225448e+01, -9.997903e+00
901883, 802177, 6.907830e+00, 9.669270e+00, 1.337499e+01, 7.345999e+00
901889, 802204, 2.175215e+01, 2.146624e+01, 3.433657e+01, 2.039719e+01
901890, 802205, 4.106962e+00, -5.466235e+00, 5.965682e+00, 7.260156e+00
901891, 802206, 4.863717e+00, 2.852587e+00, -5.908564e+00, 5.386633e+00
902062, 802573, 3.974472e+00, 1.576990e+01, 8.436680e+00, 9.623363e+00
902071, 802588, -6.221360e+00, -8.790209e+00, -1.150162e+01, -9.119728e+00
902072, 802593, 1.518418e+01, 1.385860e+01, 1.723091e+01, 9.226671e+00
902074, 802591, -3.961280e+00, -5.209325e+00, -1.727256e+01, 4.009004e+00
902080, 802610, -5.601406e+00, 5.074961e+00, 1.227811e+01, 2.655184e+01
902081, 802611, -4.102247e+00, -1.921853e+01, -4.934685e+00, 6.842684e+00
902082, 802617, 2.092845e+01, 1.868154e+01, 3.258834e+01, 1.738841e+01
902083, 802618, -5.254179e+00, -4.350282e+00, -4.977631e+00, -1.068981e+01
902106, 802685, 6.439415e+00, 5.334112e+00, 5.029426e+00, 6.533273e+00
902107, 802686, -4.107082e+00, 4.791882e+00, -1.246232e+01, -5.501077e+00
902108, 802687, -3.723408e+00, -6.441490e+00, -1.444204e+01, -1.192417e+01
902109, 802689, -5.500428e+00, -4.731077e+00, 6.343076e+00, 1.683202e+01
902110, 802690, 4.104606e+00, 4.324046e+00, -5.837757e+00, 3.726511e+00
902118, 802723, 1.320177e+01, 4.777539e+00, 6.739634e+00, -4.695205e+00
902119, 802724, 5.389809e+00, 7.089481e+00, 1.178094e+01, 5.218854e+00
902120, 802732, -2.583756e+00, 1.233985e+01, 1.733876e+01, 9.234082e+00
902121, 802733, 5.225115e+00, 5.822179e+00, 6.341092e+00, 4.249628e+00
902122, 802734, -6.109721e+00, 1.247733e+01, 8.306817e+00, 1.267765e+01
902123, 802739, -2.015771e+00, 9.291875e+00, -6.523853e+00, -1.154191e+01
902124, 802740, 1.652898e+01, 1.824829e+01, 6.942115e+00, 8.630791e+00
902288, 802942, 1.129660e+01, 8.606300e+00, -1.087589e+01, -1.300256e+01
902289, 802949, -6.480425e+00, -6.454777e+00, -9.614770e+00, -6.023347e+00
902290, 802950, 1.988045e+01, 7.159481e+00, -3.383505e+00, 1.068105e+01
902291, 802951, -1.073816e+01, -6.809963e+00, -9.604794e+00, 7.335349e+00
902292, 802952, -8.453883e+00, 3.026803e+00, 4.273295e+00, -9.855379e+00
902371, 803031, 7.416424e+00, -1.171589e+01, -4.948116e+00, 1.375995e+01
